Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24179136/renault-clio-15-dci-nov?attp=p3_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23817000/renault-clio-12-16v?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]  
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=2, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/14060518/renault-clio-15dci75-energy?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2019., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24204425/renault-clio-09-tce-van?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=2 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2020., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24200261/renault-clio-10-90-hp-mt5-lpg?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=2, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24197902/renault-clio-nov?attp=p3_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24117584/renault-clio-09-limited-ch?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24186412/renault-clio-iv-15-dci?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24109435/renault-clio-09-tci?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/22547916/renault-clio?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23728104/renault-clio-15-multimedia-nav?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24075607/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Siva, condition=Nije oštećen, price=None]   
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24321113/renault-clio?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None]       
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24057141/renault-clio?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bordo, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24320231/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crna, condition=Nije oštećen, price=None]    
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24114713/renault-clio-12-b-143000-km?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/22938213/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]   
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/21244042/renault-clio-15-dci-energygps?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=2, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23903277/renault-clio-15-nightday?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crna, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=2, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=True, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23222496/renault-clio-15-dci-75?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None] 
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2017., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/22154665/renault-clio-15-dci-navg?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2020., distanceTraveled=5, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24015443/renault-clio-09-van-55000-lpg?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=2 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=2, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24171193/renault-clio-ch?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Siva, condition=Nije oštećen, price=None]      
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2020., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24170732/renault-clio-tce-tng?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=True, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/21998095/renault-clio-09-tce-tng?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24310216/renault-clio?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crna, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=True, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/20997752/renault-clio-09-tce-tng?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=2 sedišta, color=Bordo, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=2, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23238491/renault-clio-15dci-vel-servis?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24304428/renault-clio?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bordo, condition=Nije oštećen, price=None]        
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/22050749/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]   
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/15144962/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crna, condition=Nije oštećen, price=None]   
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24079135/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Siva, condition=Nije oštećen, price=None]   
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=True, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24034424/renault-clio-dci?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]       
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=2, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24175794/renault-clio-12-n-o-v?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=8, motorStrength=None, fixedPrice=True, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23650100/renault-clio-tce?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crna, condition=Nije oštećen, price=None]      
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/22161128/renault-clio?attp=p0_pv0_pc0_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
