state,brand,model,year,distanceTraveled,bodyType,fuelType,cubicCapacity,motorStrength,fixedPrice,exchange,linkToArticle,numberOfDoors,numberOfSeats,color,condition,price
Polovno vozilo,Renault,Clio,2015.,119.000 km,Hečbek,Dizel,1461 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/24034424/renault-clio-dci?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.900 €
Polovno vozilo,Renault,Clio,2016.,179.000 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23817000/renault-clio-12-16v?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.750 €
Polovno vozilo,Renault,Clio,2015.,188.480 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/15144962/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.650 €
Polovno vozilo,Renault,Clio,2014.,143.163 km,Hečbek,Benzin + Gas (TNG),1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24114713/renault-clio-12-b-143000-km?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.999 €
Polovno vozilo,Renault,Clio,2014.,156.750 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24179136/renault-clio-15-dci-nov?attp=p3_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.790 €
Polovno vozilo,Renault,Clio,2014.,223.100 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23478698/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.900 €
Polovno vozilo,Renault,Clio,2015.,174.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24149413/renault-clio-15-dci-n-a-v-i?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.290 €
Polovno vozilo,Renault,Clio,2019.,134.600 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24299989/renault-clio-09-tce-van?attp=p3_pv0_pc1_pl1_plv0,4/5 vrata,2 sedišta,Crvena,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2014.,127.000 km,Hečbek,Benzin,899 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24009534/renault-clio-nov-nov?attp=p3_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.950 €
Polovno vozilo,Renault,Clio,2016.,130.000 km,Hečbek,Dizel,1461 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/23706735/renault-clio?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.600 €
Polovno vozilo,Renault,Clio,2014.,120.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24109435/renault-clio-09-tci?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.500 €
Polovno vozilo,Renault,Clio,2014.,178.128 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22547916/renault-clio?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.490 €
Polovno vozilo,Renault,Clio,2014.,197.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24359050/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.650 €
Polovno vozilo,Renault,Clio,2016.,170.189 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24358234/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.850 €
Polovno vozilo,Renault,Clio,2014.,264.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24353164/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.500 €
Polovno vozilo,Renault,Clio,2015.,40.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23312433/renault-clio-898?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,7.000 €
Polovno vozilo,Renault,Clio,2014.,193.309 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24353221/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.850 €
Polovno vozilo,Renault,Clio,2020.,80.000 km,Hečbek,Benzin,999 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24352847/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Oštećen - nije u voznom stanju,4.444 €
Polovno vozilo,Renault,Clio,2014.,82.090 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24051905/renault-clio-12?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,6.600 €
Polovno vozilo,Renault,Clio,2015.,180.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/21508030/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bež,Nije oštećen,5.500 €
Polovno vozilo,Renault,Clio,2016.,170.000 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24349814/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,5.800 €
Polovno vozilo,Renault,Clio,2018.,131.000 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22916587/renault-clio-09tce-tng?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2016.,176.000 km,Hečbek,Dizel,1468 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/21744989/renault-clio-15-dci-navtech?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.490 €
Polovno vozilo,Renault,Clio,2016.,151.347 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22449638/renault-clio-energy-eco2?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.690 €
Polovno vozilo,Renault,Clio,2014.,129.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/21830041/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.800 €
Polovno vozilo,Renault,Clio,2015.,168.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24346054/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.400 €
Polovno vozilo,Renault,Clio,2020.,106.189 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24345139/renault-clio-09-tce-tng?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2014.,207.000 km,Hečbek,Dizel,1461 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/24345120/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,5.950 €
Polovno vozilo,Renault,Clio,2015.,185.633 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/21811231/renault-clio-15-dci-msevis?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.050 €
Polovno vozilo,Renault,Clio,2015.,282.689 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24139441/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.400 €
Polovno vozilo,Renault,Clio,2014.,121.500 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24336667/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,5.500 €
Polovno vozilo,Renault,Clio,2014.,230.517 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/14060518/renault-clio-15dci75-energy?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.550 €
Polovno vozilo,Renault,Clio,2014.,150.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24154733/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,4.790 €
Polovno vozilo,Renault,Clio,2016.,170.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22209037/renault-clio-09-tce?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Srebrna,Nije oštećen,6.650 €
Polovno vozilo,Renault,Clio,2014.,203.825 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23853157/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,6.790 €
Polovno vozilo,Renault,Clio,2015.,154.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24336223/renault-clio-09-tce?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.190 €
Polovno vozilo,Renault,Clio,2014.,144.590 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24336234/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Srebrna,Nije oštećen,6.800 €
Polovno vozilo,Renault,Clio,2015.,250.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24336139/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.350 €
Polovno vozilo,Renault,Clio,2014.,192.288 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23756237/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.790 €
Polovno vozilo,Renault,Clio,2017.,154.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24333868/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.850 €
Polovno vozilo,Renault,Clio,2016.,154.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/21962967/renault-clio-tce?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2014.,212.188 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23521642/renault-clio-09-tce-edition?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,7.000 €
Polovno vozilo,Renault,Clio,2016.,168.281 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23826357/renault-clio-15-dci-van-n1?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,2 sedišta,Bela,Nije oštećen,4.990 €
Polovno vozilo,Renault,Clio,2014.,192.660 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24186412/renault-clio-iv-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.690 €
Polovno vozilo,Renault,Clio,2014.,172.300 km,Hečbek,Benzin,899 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23273171/renault-clio-90-tce-edition-7?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Žuta,Nije oštećen,6.799 €
Polovno vozilo,Renault,Clio,2014.,197.535 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23740073/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Plava,Nije oštećen,6.590 €
Polovno vozilo,Renault,Clio,2016.,166.622 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24322014/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.300 €
Polovno vozilo,Renault,Clio,2016.,145.856 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24057141/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bordo,Nije oštećen,5.600 €
Polovno vozilo,Renault,Clio,2015.,176.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24320231/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.300 €
Polovno vozilo,Renault,Clio,2014.,213.739 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23903277/renault-clio-15-nightday?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2016.,258.737 km,Hečbek,Dizel,1461 cm3,,False,True,https://www.polovniautomobili.com/auto-oglasi/23222496/renault-clio-15-dci-75?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.850 €
Polovno vozilo,Renault,Clio,2015.,245.800 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24308875/renault-clio-eco-2?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,6.200 €
Polovno vozilo,Renault,Clio,2017.,180.000 km,Hečbek,Dizel,1498 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22154665/renault-clio-15-dci-navg?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2020.,55.000 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24015443/renault-clio-09-van-55000-lpg?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,2 sedišta,Crvena,Nije oštećen,6.650 €
Polovno vozilo,Renault,Clio,2014.,250.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24171193/renault-clio-ch?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,6.499 €
Polovno vozilo,Renault,Clio,2020.,128.541 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24170732/renault-clio-tce-tng?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2016.,181.000 km,Hečbek,Benzin + Gas (TNG),898 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/21998095/renault-clio-09-tce-tng?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.500 €
Polovno vozilo,Renault,Clio,2014.,173.600 km,Hečbek,Benzin + Gas (TNG),1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24310216/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.400 €
Polovno vozilo,Renault,Clio,2016.,140.277 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,True,https://www.polovniautomobili.com/auto-oglasi/20997752/renault-clio-09-tce-tng?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,2 sedišta,Bordo,Nije oštećen,5.999 €
Polovno vozilo,Renault,Clio,2016.,190.000 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24304428/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bordo,Nije oštećen,6.500 €
Polovno vozilo,Renault,Clio,2015.,175.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22050749/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.500 €
Polovno vozilo,Renault,Clio,2015.,219.381 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24175794/renault-clio-12-n-o-v?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.299 €
Polovno vozilo,Renault,Clio,2015.,141.000 km,Hečbek,Benzin,898 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/23650100/renault-clio-tce?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crna,Nije oštećen,6.600 €
Polovno vozilo,Renault,Clio,2015.,176.500 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22161128/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.900 €
Polovno vozilo,Renault,Clio,2015.,152.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24290107/renault-clio-09-tce-dinamiq?attp=p7_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.790 €
Polovno vozilo,Renault,Clio,2017.,260.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24261421/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Žuta,Nije oštećen,7.000 €
Polovno vozilo,Renault,Clio,2014.,220.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23550797/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Braon,Nije oštećen,5.950 €
Polovno vozilo,Renault,Clio,2016.,230.022 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23760232/renault-clio-15-dci-n1?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,2 sedišta,Bela,Nije oštećen,4.300 €
Polovno vozilo,Renault,Clio,2015.,218.000 km,Hečbek,Dizel,1461 cm3,,False,True,https://www.polovniautomobili.com/auto-oglasi/24094251/renault-clio-15-dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.550 €
Polovno vozilo,Renault,Clio,2014.,11.000 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24196697/renault-clio-12-75?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.550 €
Polovno vozilo,Renault,Clio,2015.,194.128 km,Hečbek,Dizel,1461 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/24060188/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,6.200 €
Polovno vozilo,Renault,Clio,2015.,215.276 km,Hečbek,Dizel,1461 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/23859950/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.000 €
Polovno vozilo,Renault,Clio,2015.,233.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24189617/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.700 €
Polovno vozilo,Renault,Clio,2016.,180.428 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24140700/renault-clio-15-dci-nav?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.800 €
Polovno vozilo,Renault,Clio,2016.,165.000 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/19778444/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.450 €
Polovno vozilo,Renault,Clio,2015.,262.633 km,Hečbek,Dizel,1461 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/23689393/renault-clio-novi-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,5.999 €
Polovno vozilo,Renault,Clio,2016.,211.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/22203056/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.850 €
Polovno vozilo,Renault,Clio,2014.,195.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24171046/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.500 €
Polovno vozilo,Renault,Clio,2016.,238.749 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23957420/renault-clio-n1?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,2 sedišta,Bela,Nije oštećen,4.800 €
Polovno vozilo,Renault,Clio,2015.,229.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24162076/renault-clio-4?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.200 €
Polovno vozilo,Renault,Clio,2015.,181.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23595525/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.400 €
Polovno vozilo,Renault,Clio,2015.,216.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23767547/renault-clio?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.400 €
Polovno vozilo,Renault,Clio,2015.,256.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/23396331/renault-clio-15dci?attp=p0_pv0_pc0_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.750 €
